buildroot login: root
# [   24.728085][    C0] xhci_hcd 0000:00:04.0: handle events!
[   24.728715][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   24.728919][    C0] xhci_hcd 0000:00:04.0: port status!
[   24.729766][    C0] xhci_hcd 0000:00:04.0:  xhci interrupt!
[   24.730903][   T47] usb usb1: submitted urb:
[   24.731016][   T47] usb usb1: pipe:2147484032d,stream:0d
[   24.731108][   T47] usb usb1: control request! transfer flag:0
[   24.731178][   T47] usb usb1: req type:a3
[   24.731232][   T47] usb usb1: req0
[   24.731334][   T47] usb usb1: index:1
[   24.731451][   T47] usb usb1: value:0
[   24.731546][   T47] usb usb1: length:4
[   24.733307][   T47] usb usb1: submitted urb:
[   24.733443][   T47] usb usb1: pipe:2147483904d,stream:0d
[   24.733512][   T47] usb usb1: control request! transfer flag:0
[   24.733580][   T47] usb usb1: req type:23
[   24.733630][   T47] usb usb1: req1
[   24.733699][   T47] usb usb1: index:1
[   24.733782][   T47] usb usb1: value:10
[   24.734270][   T47] usb usb1: length:0
[   24.734815][   T47] usb usb1: submitted urb:
[   24.734889][   T47] usb usb1: pipe:2147484032d,stream:0d
[   24.734963][   T47] usb usb1: control request! transfer flag:0
[   24.735033][   T47] usb usb1: req type:a3
[   24.735092][   T47] usb usb1: req0
[   24.735159][   T47] usb usb1: index:2
[   24.735221][   T47] usb usb1: value:0
[   24.735285][   T47] usb usb1: length:4
[   24.735653][   T47] usb usb1: submitted urb:
[   24.735879][   T47] usb usb1: pipe:2147484032d,stream:0d
[   24.735952][   T47] usb usb1: control request! transfer flag:0
[   24.736051][   T47] usb usb1: req type:a3
[   24.736216][   T47] usb usb1: req0
[   24.736267][   T47] usb usb1: index:3
[   24.736310][   T47] usb usb1: value:0
[   24.736357][   T47] usb usb1: length:4
[   24.737459][   T47] usb usb1: submitted urb:
[   24.737553][   T47] usb usb1: pipe:2147484032d,stream:0d
[   24.737647][   T47] usb usb1: control request! transfer flag:0
[   24.737868][   T47] usb usb1: req type:a3
[   24.737953][   T47] usb usb1: req0
[   24.738001][   T47] usb usb1: index:4
[   24.738045][   T47] usb usb1: value:0
[   24.738087][   T47] usb usb1: length:4
[   24.847291][   T47] usb usb1: submitted urb:
[   24.847457][   T47] usb usb1: pipe:1077969280d,stream:0d
[   24.847833][   T47] usb usb1: submitted urb:
[   24.847943][   T47] usb usb1: pipe:2147484032d,stream:0d
[   24.848510][   T47] usb usb1: control request! transfer flag:0
[   24.848616][   T47] usb usb1: req type:a3
[   24.848668][   T47] usb usb1: req0
[   24.848704][   T47] usb usb1: index:1
[   24.848740][   T47] usb usb1: value:0
[   24.848775][   T47] usb usb1: length:4
[   24.849775][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   24.849899][   T47] xhci_hcd 0000:00:04.0: 0
[   24.849953][   T47] xhci_hcd 0000:00:04.0: 0
[   24.850007][   T47] xhci_hcd 0000:00:04.0: 0
[   24.850074][   T47] xhci_hcd 0000:00:04.0: 2401
[   24.850383][    C0] xhci_hcd 0000:00:04.0: handle events!
[   24.850496][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   24.850635][    C0] xhci_hcd 0000:00:04.0: cmd completion
[   24.850769][    C0] xhci_hcd 0000:00:04.0: handle event completion
[   24.850931][    C0] xhci_hcd 0000:00:04.0: completion code:1
[   24.851169][    C0] xhci_hcd 0000:00:04.0:  xhci interrupt!
[   24.853454][   T47] usb (null): enable endpoint 0
[   24.854387][   T47] usb usb1: submitted urb:
[   24.854490][   T47] usb usb1: pipe:2147483904d,stream:0d
[   24.854568][   T47] usb usb1: control request! transfer flag:0
[   24.854624][   T47] usb usb1: req type:23
[   24.854692][   T47] usb usb1: req3
[   24.854734][   T47] usb usb1: index:1
[   24.855247][   T47] usb usb1: value:4
[   24.855334][   T47] usb usb1: length:0
[   24.856161][    C0] xhci_hcd 0000:00:04.0: handle events!
[   24.856322][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   24.856396][    C0] xhci_hcd 0000:00:04.0: port status!
[   24.856598][    C0] xhci_hcd 0000:00:04.0:  xhci interrupt!
[   24.920300][   T47] usb usb1: submitted urb:
[   24.920447][   T47] usb usb1: pipe:2147484032d,stream:0d
[   24.920523][   T47] usb usb1: control request! transfer flag:0
[   24.920604][   T47] usb usb1: req type:a3
[   24.920668][   T47] usb usb1: req0
[   24.920836][   T47] usb usb1: index:1
[   24.920936][   T47] usb usb1: value:0
[   24.921027][   T47] usb usb1: length:4
[   24.921820][   T47] usb usb1: submitted urb:
[   24.921936][   T47] usb usb1: pipe:2147483904d,stream:0d
[   24.922016][   T47] usb usb1: control request! transfer flag:0
[   24.922101][   T47] usb usb1: req type:23
[   24.922168][   T47] usb usb1: req1
[   24.922237][   T47] usb usb1: index:1
[   24.922306][   T47] usb usb1: value:14
[   24.922373][   T47] usb usb1: length:0
[   24.975596][   T47] xhci_hcd 0000:00:04.0: reset device
[   24.976065][   T47] usb 1-1: new high-speed USB device number 2 using xhci_hcd
[   24.976302][   T47] xhci_hcd 0000:00:04.0: xhci_setup_device
[   24.976699][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   24.976757][   T47] xhci_hcd 0000:00:04.0: 1243000
[   24.976818][   T47] xhci_hcd 0000:00:04.0: 1
[   24.976875][   T47] xhci_hcd 0000:00:04.0: 0
[   24.976929][   T47] xhci_hcd 0000:00:04.0: 1002e01
[   24.977124][    C0] xhci_hcd 0000:00:04.0: handle events!
[   24.977203][    C0] xhci_hcd 0000:00:04.0: handle event trb!
[   24.977268][    C0] xhci_hcd 0000:00:04.0: cmd completion
[   24.977338][    C0] xhci_hcd 0000:00:04.0: handle event completion
[   24.977418][    C0] xhci_hcd 0000:00:04.0: completion code:1
[   24.977522][    C0] xhci_hcd 0000:00:04.0:  xhci interrupt!
[   24.977871][   T47] usb 1-1: submitted urb:
[   24.977940][   T47] usb 1-1: pipe:2147483776d,stream:0d
[   24.978013][   T47] usb 1-1: control request! transfer flag:0
[   24.978082][   T47] usb 1-1: req type:80
[   24.978159][   T47] usb 1-1: req6
[   24.978219][   T47] usb 1-1: index:0
[   24.978277][   T47] usb 1-1: value:100
[   24.978347][   T47] usb 1-1: length:40
[   24.980052][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   24.980156][   T47] xhci_hcd 0000:00:04.0: 1000680
[   24.980199][   T47] xhci_hcd 0000:00:04.0: 400000
[   24.980237][   T47] xhci_hcd 0000:00:04.0: 8
[   24.980272][   T47] xhci_hcd 0000:00:04.0: 30840
[   24.980405][   T47] xhci_hcd 0000:00:04.0: dump trb:
[   24.980475][   T47] xhci_hcd 0000:00:04.0: 11af580
